,synth,train,val,test,synth_value,real_value,jsd,wasserstein,diff_corr,dcr_rf,nndr_rf,dcr_rr,nndr_rr,dcr_ff,nndr_ff
6_3_25,6_3_25\synth.csv,6_3_25\train.csv,6_3_25\val.csv,6_3_25\test.csv,0.5642105263157896,0.6134453781512605,0.02768801499549816,0.010322816722609159,1.1978414311735042,0.5569991527306674,0.6931774153950682,0.40556805917456157,0.5142310533025557,0.6126125748365833,0.6809378720219581
6_4_25,6_4_25\synth.csv,6_4_25\train.csv,6_4_25\val.csv,6_4_25\test.csv,0.6193548387096774,0.6612244897959185,0.025676610588750207,0.016944226057309535,1.171679163698726,0.5474488066116713,0.6783104592206984,0.39968857645640016,0.5212078162604378,0.6077073674117758,0.6840530961088523
7_0_25,7_0_25\synth.csv,7_0_25\train.csv,7_0_25\val.csv,7_0_25\test.csv,0.5417607223476297,0.6454183266932271,0.1197754366444038,0.015737992973220958,1.0816142017565407,0.5668176290435225,0.6758574823961664,0.398074352757757,0.5208718334592021,0.6070951182264246,0.6862511960415368
7_1_25,7_1_25\synth.csv,7_1_25\train.csv,7_1_25\val.csv,7_1_25\test.csv,0.5086206896551724,0.59765625,0.04858355748646313,0.020085504184914154,1.1163287631756516,0.590051609585406,0.6868387850057771,0.401289244802445,0.5217034059483369,0.6263231482626801,0.6763203162252073
7_2_25,7_2_25\synth.csv,7_2_25\train.csv,7_2_25\val.csv,7_2_25\test.csv,0.5419664268585133,0.5750528541226215,0.07093499873178317,0.01282585939658714,1.068568022092739,0.5535010836819317,0.684239294050286,0.39128831715651513,0.4975364194359013,0.5834509258965832,0.6891886564217649
7_3_25,7_3_25\synth.csv,7_3_25\train.csv,7_3_25\val.csv,7_3_25\test.csv,0.5982532751091704,0.6134453781512605,0.0603099908182326,0.010871808044558716,1.0261896314743506,0.5723468909557375,0.6741529946862486,0.40556805917456157,0.5142310533025557,0.6249586700319988,0.6867908533126617
7_4_25,7_4_25\synth.csv,7_4_25\train.csv,7_4_25\val.csv,7_4_25\test.csv,0.4880382775119617,0.6612244897959185,0.03684148059225441,0.013813065306027042,1.014509968398739,0.5488743850442932,0.6654652532495112,0.39968857645640016,0.5212078162604378,0.6064723458467832,0.6665624704109967
8_0_25,8_0_25\synth.csv,8_0_25\train.csv,8_0_25\val.csv,8_0_25\test.csv,0.5367965367965368,0.6454183266932271,0.1291258945337794,0.018304754434326324,1.1093077400695281,0.5615954925356457,0.6681255892098603,0.398074352757757,0.5208718334592021,0.6005728572619158,0.6837965486735473
8_1_25,8_1_25\synth.csv,8_1_25\train.csv,8_1_25\val.csv,8_1_25\test.csv,0.48565121412803525,0.59765625,0.026402657302179007,0.017120909183435024,1.018225441734224,0.5699977255866711,0.6686730456323234,0.401289244802445,0.5217034059483369,0.6146522511337882,0.6876765812444302
8_2_25,8_2_25\synth.csv,8_2_25\train.csv,8_2_25\val.csv,8_2_25\test.csv,0.6303030303030303,0.5750528541226215,0.06144138511654233,0.014887129277333917,1.0388313497657422,0.5472466530784017,0.6812639293449795,0.39128831715651513,0.4975364194359013,0.5916156559036766,0.6826395345578242
8_3_25,8_3_25\synth.csv,8_3_25\train.csv,8_3_25\val.csv,8_3_25\test.csv,0.5822784810126583,0.6134453781512605,0.039208717699195365,0.014612377362914881,0.8534806502281754,0.5490945713824372,0.6780107269293223,0.40556805917456157,0.5142310533025557,0.5803928010971549,0.6673862421892739
8_4_25,8_4_25\synth.csv,8_4_25\train.csv,8_4_25\val.csv,8_4_25\test.csv,0.5303370786516852,0.6612244897959185,0.03895638019616263,0.013676827226023536,0.9591135547053747,0.5371623970616001,0.6754552277656386,0.39968857645640016,0.5212078162604378,0.6025382272474137,0.6705760110342069
9_0_25,9_0_25\synth.csv,9_0_25\train.csv,9_0_25\val.csv,9_0_25\test.csv,0.5493562231759657,0.6454183266932271,0.08164502294196176,0.012714454432498483,1.0199207246204205,0.5539090497446025,0.6679718778347893,0.398074352757757,0.5208718334592021,0.6000297262052143,0.6714790132473959
9_1_25,9_1_25\synth.csv,9_1_25\train.csv,9_1_25\val.csv,9_1_25\test.csv,0.5849802371541503,0.59765625,0.03625276716542593,0.016199002600996805,0.8965314713819321,0.5649745255793094,0.6769138703526747,0.401289244802445,0.5217034059483369,0.6010149785962929,0.6647722302193071
9_2_25,9_2_25\synth.csv,9_2_25\train.csv,9_2_25\val.csv,9_2_25\test.csv,0.4974874371859297,0.5750528541226215,0.06124754658546758,0.012827825834254274,0.9798536880615416,0.5261210591716582,0.6588232017495588,0.39128831715651513,0.4975364194359013,0.6018781689346104,0.678518734113855
9_3_25,9_3_25\synth.csv,9_3_25\train.csv,9_3_25\val.csv,9_3_25\test.csv,0.5785876993166287,0.6134453781512605,0.03130191685589166,0.013243479803995154,0.7746833882744555,0.5501253789586373,0.6585123582488892,0.40556805917456157,0.5142310533025557,0.57813912449266,0.6523626649873676
9_4_25,9_4_25\synth.csv,9_4_25\train.csv,9_4_25\val.csv,9_4_25\test.csv,0.56,0.6612244897959185,0.03904655252268749,0.012293969164472505,0.742914284522273,0.5246784905831181,0.6724329506390342,0.39968857645640016,0.5212078162604378,0.60272589641881,0.6728127191816227
0_0_26,0_0_26\synth.csv,0_0_26\train.csv,0_0_26\val.csv,0_0_26\test.csv,0.3875968992248063,0.6454183266932271,0.1714625071559936,0.02927723969595032,1.6240598292595276,0.6475446130658852,0.7193781738302879,0.398074352757757,0.5208718334592021,0.6839744012804816,0.6947183057310969
0_1_26,0_1_26\synth.csv,0_1_26\train.csv,0_1_26\val.csv,0_1_26\test.csv,0.45116279069767445,0.59765625,0.17485584243849323,0.02774104210786475,1.6375008543081744,0.6357475163704304,0.7152122044649801,0.401289244802445,0.5217034059483369,0.7011534449779997,0.70392383966815
0_2_26,0_2_26\synth.csv,0_2_26\train.csv,0_2_26\val.csv,0_2_26\test.csv,0.4851485148514851,0.5750528541226215,0.14219138496461087,0.023563235517645074,1.6877000497168606,0.6512695905521078,0.7208115919345794,0.39128831715651513,0.4975364194359013,0.6822790007858893,0.6810189306026904
0_3_26,0_3_26\synth.csv,0_3_26\train.csv,0_3_26\val.csv,0_3_26\test.csv,0.5798319327731094,0.6134453781512605,0.13597839702970277,0.022966064849696557,1.418187699348814,0.6441924496412079,0.7290373456595235,0.40556805917456157,0.5142310533025557,0.7047137977937616,0.6877905658420124
0_4_26,0_4_26\synth.csv,0_4_26\train.csv,0_4_26\val.csv,0_4_26\test.csv,0.6000000000000001,0.6612244897959185,0.11523396633923816,0.022836341179957233,1.3202858418997454,0.6444719009860099,0.7261416543891592,0.39968857645640016,0.5212078162604378,0.7006018994197464,0.6687106807972917
1_0_26,1_0_26\synth.csv,1_0_26\train.csv,1_0_26\val.csv,1_0_26\test.csv,0.5619469026548672,0.6454183266932271,0.06974770412479993,0.027716897077197808,1.2818484147350397,0.6413229910360884,0.6984083900804418,0.398074352757757,0.5208718334592021,0.7258569906622016,0.6818361781005875
